t,i,s,r
17.59999999999998,53.34133757405836,49.82905092274921,896.8296115031918
17.69999999999998,52.02289308374495,49.5672719654098,898.4098349508446
17.799999999999983,50.73572912023227,49.313291488962946,899.9509793908042
17.899999999999984,49.47917518376446,49.066851711229376,901.4539731050055
17.999999999999986,48.25257099667627,48.827704590610026,902.9197244127131
18.099999999999987,47.05526661776119,48.595611403149775,904.3491219790884
18.19999999999999,45.886622532925166,48.37034234025441,905.7430351268198
18.29999999999999,44.746009723906894,48.151676125963604,907.1023141501289
18.39999999999999,43.63280971673293,47.93939965274389,908.4277906305226
18.499999999999993,42.546414611469245,47.73330763482364,909.7202777537066
18.599999999999994,41.48622709473125,47.53320227814661,910.9805706271216
18.699999999999996,40.45166043632018,47.33889296607199,912.2094465976072
18.799999999999997,39.44213847126585,47.15019595999752,913.407665568736
18.9,38.4570955684725,46.96693411412796,914.5759703173989
19.0,37.495976587087156,46.788936603654264,915.7150868092579
19.1,36.55823682163629,46.61603866564956,916.8257245127135
19.200000000000003,35.64334193690837,46.44808135202629,917.9085767110646
19.300000000000004,34.75076789349509,46.28491129393502,918.9643208125691
19.400000000000006,33.88000086484386,46.12638047701945,919.9936186581359
19.500000000000007,33.03053714661707,45.97234602697442,920.9971168264077
19.60000000000001,32.20188305910055,45.82267000488366,921.975446936015
19.70000000000001,31.393554843353417,45.677219211842946,922.9292259448029
19.80000000000001,30.605078551744715,45.535865002400925,923.8590564458535
19.900000000000013,29.835989933478135,45.398483106375465,924.7655269601455
20.000000000000014,29.08583431566473,45.264953458627154,925.6492122257072
20.100000000000016,28.354166480464855,45.13516003639423,926.51067348314
20.200000000000017,27.64055053878416,45.0089907038145,927.3504587574004
20.30000000000002,26.944559800974407,44.88633706327981,928.1691031357448
20.40000000000002,26.26577664495784,44.767094313287714,928.9671290417534
20.50000000000002,25.60379238216397,44.651161112472664,929.7450465053623
20.600000000000023,24.958207121639465,44.538439449516105,930.5033534288434
20.700000000000024,24.328629632665518,44.428834518650625,931.2425358486828
20.800000000000026,23.71467720619247,44.322254600488385,931.9630681933181
20.900000000000027,23.11597551537822,44.21861094791829,932.6654135367024
21.00000000000003,22.53215847549546,44.11781767682963,933.3500238476738
21.10000000000003,21.962868103452323,44.01979166143265,934.0173402351139
21.20000000000003,21.40775437715224,43.924452433958415,934.6677931888883
21.300000000000033,20.866475094900853,43.83172208853167,935.3018028165664
21.400000000000034,20.338695735051317,43.74152518902089,935.9197790759266
21.500000000000036,19.824089316063713,43.653788680680016,936.522122003255
21.600000000000037,19.32233625713973,43.568441805405634,937.1092219374534
21.70000000000004,18.833124239580194,43.48541602044254,937.681459739976
21.80000000000004,18.356148069000255,43.4046449203791,938.2392070106195
21.90000000000004,17.89110953852519,43.32606416228165,938.7828262991919
22.000000000000043,17.437717293078606,43.249611393825106,939.312671313095
22.100000000000044,16.995686694864524,43.17522618428393,939.8290871208503
22.200000000000045,16.56473969013506,43.10284995825433,940.3324103516094
22.300000000000047,16.144604677326424,43.03242593198529,940.822969390687
22.40000000000005,15.7350163766375,42.96389905220175,941.3010845711595
22.50000000000005,15.335715701117417,42.897215937309404,941.767068361572
22.60000000000005,14.946449629321162,42.83232482087566,942.2212255498019
22.700000000000053,14.566971079585489,42.76917549728673,942.6638534231265
22.800000000000054,14.197038785970998,42.70771926948562,943.0952419445421
22.900000000000055,13.836417175910357,42.64790889870043,943.5156739253879
23.000000000000057,13.48487624959712,42.58969855607671,943.9254251943248
23.10000000000006,13.142191461144497,42.53304377613193,944.3247647627222
23.20000000000006,12.808143601538692,42.47790141195382,944.7139549865061
23.30000000000006,12.482518683406983,42.4242295920683,945.0932517245234
23.400000000000063,12.1651078276167,42.37198767890614,945.4629044934758
23.500000000000064,11.855707151717391,42.321136228800896,945.8231566194803
23.600000000000065,11.554117660235056,42.2716369534538,946.1742453863097
23.700000000000067,11.260145136824015,42.22345268280432,946.5164021803703
23.800000000000068,10.973600038279045,42.17654732924806,946.8498526324715
23.90000000000007,10.694297390407629,42.13088585314625,947.1748167564448
24.00000000000007,10.422056685759642,42.08643422957374,947.4915090846653
24.100000000000072,10.156701783209478,42.043159416254845,947.8001388005343
24.200000000000074,9.898060809383415,42.00102932263874,948.1009098679765
